id;nombre_doctor;correo_personal;correo_corporativo;telefono_personal;telefono_corporativo
1;program transition Acero;Plástico Azul;Berkshire Bicicleta;Namibia Parafarmacia;línea Guayana
2;equipos FTP Granito;back-end optimize;Auto;monetize brand Amarillo;enable Valenciana
3;International;Mesa Sopa withdrawal;ejecutiva;mission-critical;Joyería next-generation Madera
4;Investigación Toallas Principado;Gourde aggregate Verde;digital Ergonómico Madera;compress Checking transmitter;incentivize haptic
5;24/365 Valenciana;hacking;Aragón;línea navigating;Mauritius servidor amplio
6;SCSI;Metal Nepal;Ergonómico;Representante sinergia Director;Plástico Pollo
7;Pequeño Algodón;Dollar;Credit Albania bypass;global Rupee copy;Gris SSL
8;Borders;Granito efficient Account;program infrastructures;Realineado Distribuido;Rojo
9;mano;reinvent Avon Salchichas;deliverables Amarillo;hacking Salud Colegio;Suiza Calidad
10;sexy Buckinghamshire;Berkshire;generate parsing;Asociado system;generate Técnico
